color,G_ROCK_TYP,description,wikipedia_url,image_url
0,basalt,"Basalt is a mafic extrusive igneous rock formed from the rapid cooling of lava rich in magnesium and iron[5] exposed at or very near the surface of a terrestrial planet or a moon.[6] More than 90% of all volcanic rock on Earth is basalt,[7] and the eruption of basalt lava is observed by geologists at about 20 volcanoes per year.[8]",https://en.wikipedia.org/wiki/Basalt,https://en.wikipedia.org/wiki/Basalt#/media/File:Szentgy%C3%B6rgyhegy03.jpg
1,mixed lithologies,"The lithology of a rock unit is a description of its physical characteristics visible at outcrop, in hand or core samples, or with low magnification microscopy. Physical characteristics include colour, texture, grain size, and composition.[1][2][3] Lithology may refer to either a detailed description of these characteristics, or a summary of the gross physical character of a rock. Examples of lithologies in the second sense include sandstone, slate, basalt, or limestone.[4]",https://en.wikipedia.org/wiki/Lithology,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/SEUtahStrat.JPG/1920px-SEUtahStrat.JPG
2,mixed grained sediments,"Sediment is a naturally occurring material that is broken down by processes of weathering and erosion, and is subsequently transported by the action of wind, water, or ice or by the force of gravity acting on the particles. For example, sand and silt can be carried in suspension in river water and on reaching the sea bed deposited by sedimentation. If buried, they may eventually become sandstone and siltstone (sedimentary rocks) through lithification.",https://en.wikipedia.org/wiki/Sediment,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sediment_off_the_Yucatan_Peninsula.jpg/1280px-Sediment_off_the_Yucatan_Peninsula.jpg
3,slope mudstone,"Mudstone, a type of mudrock, is a fine-grained sedimentary rock whose original constituents were clays or muds. Mudstone is distinguished from shale by its lack of fissility (parallel layering).[1][2]

The term mudstone is also used to describe carbonate rocks (limestone or dolomite) that are composed predominantly of carbonate mud.[3] However, in most contexts, the term refers to siliciclastic mudstone, composed mostly of silicate minerals.[2]",https://en.wikipedia.org/wiki/Mudstone,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/East_Beach_1_2006.JPG/1280px-East_Beach_1_2006.JPG
4,shelf sandstone,"Sandstone is a clastic sedimentary rock composed mainly of sand-sized (0.0625 to 2 mm) mineral particles or rock fragments (clasts) or organic material. They make up about 20 to 25 percent of all sedimentary rocks.[1]

Most sandstone is composed of quartz or feldspar (both silicates) because they are the most resistant minerals to weathering processes at the Earth's surface, as seen in the Goldich dissolution series. Like uncemented sand, sandstone may be any color due to impurities within the minerals, but the most common colors are tan, brown, yellow, red, grey, pink, white, and black. Since sandstone beds often form highly visible cliffs and other topographic features, certain colors of sandstone have been strongly identified with certain regions.

Rock formations that are primarily composed of sandstone usually allow the percolation of water and other fluids and are porous enough to store large quantities, making them valuable aquifers and petroleum reservoirs. Fine-grained aquifers, such as sandstones, are better able to filter out pollutants from the surface than are rocks with cracks and crevices, such as limestone or other rocks fractured by seismic activity.

Quartz-bearing sandstone can be changed into quartzite through metamorphism, usually related to tectonic compression within orogenic belts.",https://en.wikipedia.org/wiki/Sandstone,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/MoabAlcove.JPG/1280px-MoabAlcove.JPG
5,deltaic sandstone,"Sandstone is a clastic sedimentary rock composed mainly of sand-sized (0.0625 to 2 mm) mineral particles or rock fragments (clasts) or organic material. They make up about 20 to 25 percent of all sedimentary rocks.[1]

Most sandstone is composed of quartz or feldspar (both silicates) because they are the most resistant minerals to weathering processes at the Earth's surface, as seen in the Goldich dissolution series. Like uncemented sand, sandstone may be any color due to impurities within the minerals, but the most common colors are tan, brown, yellow, red, grey, pink, white, and black. Since sandstone beds often form highly visible cliffs and other topographic features, certain colors of sandstone have been strongly identified with certain regions.

Rock formations that are primarily composed of sandstone usually allow the percolation of water and other fluids and are porous enough to store large quantities, making them valuable aquifers and petroleum reservoirs. Fine-grained aquifers, such as sandstones, are better able to filter out pollutants from the surface than are rocks with cracks and crevices, such as limestone or other rocks fractured by seismic activity.

Quartz-bearing sandstone can be changed into quartzite through metamorphism, usually related to tectonic compression within orogenic belts.",https://en.wikipedia.org/wiki/Sandstone,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/MoabAlcove.JPG/1280px-MoabAlcove.JPG
6,fine grained sediments,"Sediment is a naturally occurring material that is broken down by processes of weathering and erosion, and is subsequently transported by the action of wind, water, or ice or by the force of gravity acting on the particles. For example, sand and silt can be carried in suspension in river water and on reaching the sea bed deposited by sedimentation. If buried, they may eventually become sandstone and siltstone (sedimentary rocks) through lithification.",https://en.wikipedia.org/wiki/Sediment,https://en.wikipedia.org/wiki/Sediment#/media/File:Sediment_off_the_Yucatan_Peninsula.jpg
7,no data,no data,no data,no data
8,andesite,"Andesite ( /ˈændɪsaɪt/ or /ˈændɪzaɪt/[1]) is an extrusive igneous volcanic rock of intermediate composition, with aphanitic to porphyritic texture. In a general sense, it is the intermediate type between basalt and rhyolite, and ranges from 57 to 63% silicon dioxide (SiO2) as illustrated in TAS diagrams. The mineral assemblage is typically dominated by plagioclase plus pyroxene or hornblende. Magnetite, zircon, apatite, ilmenite, biotite, and garnet are common accessory minerals.[2] Alkali feldspar may be present in minor amounts. The quartz-feldspar abundances in andesite and other volcanic rocks are illustrated in QAPF diagrams.

Classification of andesites may be refined according to the most abundant phenocryst. Example: hornblende-phyric andesite, if hornblende is the principal accessory mineral.

Andesite can be considered as the extrusive equivalent of plutonic diorite. Characteristic of subduction zones, andesite represents the dominant rock type in island arcs. The average composition of the continental crust is andesitic.[3] Along with basalts they are a major component of the Martian crust.[4] The name andesite is derived from the Andes mountain range.",https://en.wikipedia.org/wiki/Andesite,https://upload.wikimedia.org/wikipedia/commons/c/c4/Zarnov.jpg
9,dacite,"Dacite ( /ˈdeɪsaɪt/) is an igneous, volcanic rock. It has an aphanitic to porphyritic texture and is intermediate in composition between andesite and rhyolite. The word dacite comes from Dacia, a province of the Roman Empire which lay between the Danube River and Carpathian Mountains (now modern Romania and Moldova) where the rock was first described.

The term dacite was introduced in the scientific literature by the Austrian geologist Guido Stache, and used for the first time in the book Geologie Siebenbürgens (The Geology of Transylvania)[1]. The reason to designate a new igneous rock type was to discriminate between the oligoclase-bearing rocks (dacites) and the orthoclase-bearing rocks (rhyolites) on petrographic grounds. The type-locality of dacite is near the village of Poieni, Cluj(Gizella quarry) located along the Crișul Repede river, Vlădeasa Massif in the northern Apuseni Mountains, Romania.[2]",https://en.wikipedia.org/wiki/Dacite,https://upload.wikimedia.org/wikipedia/commons/b/bf/Mineraly.sk_-_dacit.jpg
10,felsic composition lithologies,"In geology, felsic is an adjective describing igneous rocks that are relatively rich in elements that form feldspar and quartz.[1] It is contrasted with mafic rocks, which are relatively richer in magnesium and iron. Felsic refers to silicate minerals, magma, and rocks which are enriched in the lighter elements such as silicon, oxygen, aluminium, sodium, and potassium. Felsic magma or lava is higher in viscosity than mafic magma/lava.

Felsic rocks are usually light in color and have specific gravities less than 3. The most common felsic rock is granite. Common felsic minerals include quartz, muscovite, orthoclase, and the sodium-rich plagioclase feldspars (albite-rich).",https://en.wikipedia.org/wiki/Felsic,https://upload.wikimedia.org/wikipedia/commons/7/7e/RhyoliteUSGOV.jpg
11,greenstone,"Greenstone is a common generic term for valuable, green-hued minerals and metamorphosed igneous rocks and stones which early cultures used in the fashioning of hardstone carvings such as jewelry, statuettes, ritual tools, and various other artifacts. Greenstone artifacts may be made of greenschist, chlorastrolite, serpentine, omphacite, chrysoprase, olivine, nephrite, chloromelanite among other green-hued minerals.[1] The term also includes jade and jadeite, although these are perhaps more frequently identified by these latter terms.[2] The greenish hue of these rocks generally derives from the presence of minerals such as chlorite, hornblende, or epidote.[3]",https://en.wikipedia.org/wiki/Greenstone_(archaeology),https://upload.wikimedia.org/wikipedia/commons/4/4d/Se%C3%B1or_de_las_limas_2.jpg
12,chert,"Chert ( /ˈtʃɜːrt/) is a hard, fine-grained sedimentary rock composed of microcrystalline (or cryptocrystalline) crystals of quartz,[1] the mineral form of silicon dioxide (SiO2).[2] Chert is characteristically of biological origin but may also occur inorganically as a chemical precipitate or a diagenetic replacement, as in petrified wood.[3]

Chert is typically composed of the petrified remains of siliceous ooze, the biogenic sediment that covers large areas of the deep ocean floor, and which contains the silicon skeletal remains of diatoms, silicoflagellates, and radiolarians. Depending on its origin, it can contain either microfossils, small macrofossils, or both. It varies greatly in color (from white to black), but most often manifests as gray, brown, grayish brown and light green to rusty red (occasionally dark green too); its color is an expression of trace elements present in the rock, and both red and green are most often related to traces of iron (in its oxidized and reduced forms respectively).",https://en.wikipedia.org/wiki/Chert,https://upload.wikimedia.org/wikipedia/commons/a/a3/Tung_Ping_Chau_6.jpg
13,serpentinite,"Serpentinite is a rock composed of one or more serpentine group minerals, the name originating from the similarity of the texture of the rock to that of the skin of a snake.[1] Minerals in this group, which are rich in magnesium and water, light to dark green, greasy looking and slippery feeling, are formed by serpentinization, a hydration and metamorphic transformation of ultramafic rock from the Earth's mantle. The mineral alteration is particularly important at the sea floor at tectonic plate boundaries.[2]",https://en.wikipedia.org/wiki/Serpentinite,https://upload.wikimedia.org/wikipedia/commons/c/c2/Serpentinite_sur_gneiss.jpg
14,mafic composition lithologies,"Mafic is an adjective describing a silicate mineral or igneous rock that is rich in magnesium and iron, and is thus a portmanteau of magnesium and ferric.[1] Most mafic minerals are dark in color, and common rock-forming mafic minerals include olivine, pyroxene, amphibole, and biotite. Common mafic rocks include basalt, diabase and gabbro. Mafic rocks often also contain calcium-rich varieties of plagioclase feldspar. Mafic materials can also be described as ferromagnesian.

Chemically, mafic rocks are enriched in iron, magnesium and calcium and typically dark in color. In contrast the felsic rocks are typically light in color and enriched in aluminium and silicon along with potassium and sodium. The mafic rocks also typically have a higher density than felsic rocks. The term roughly corresponds to the older basic rock class.

Mafic lava, before cooling, has a low viscosity, in comparison with felsic lava, due to the lower silica content in mafic magma. Water and other volatiles can more easily and gradually escape from mafic lava. As a result, eruptions of volcanoes made of mafic lavas are less explosively violent than felsic-lava eruptions.[2] Most mafic-lava volcanoes are shield volcanoes, like those in Hawaii.[citation needed]",https://en.wikipedia.org/wiki/Mafic,https://upload.wikimedia.org/wikipedia/commons/0/08/BasaltUSGOV.jpg
15,turbidite,"A turbidite is the geologic deposit of a turbidity current, which is a type of sediment gravity flow responsible for distributing vast amounts of clastic sediment into the deep ocean.",https://en.wikipedia.org/wiki/Turbidite,https://upload.wikimedia.org/wikipedia/commons/0/01/Turbidite_2.JPG
16,pillow lavas,"Pillow lavas are lavas that contain characteristic pillow-shaped structures that are attributed to the extrusion of the lava underwater, or subaqueous extrusion. Pillow lavas in volcanic rock are characterized by thick sequences of discontinuous pillow-shaped masses, commonly up to one meter in diameter. They form the upper part of Layer 2 of normal oceanic crust.",https://en.wikipedia.org/wiki/Pillow_lava,https://upload.wikimedia.org/wikipedia/commons/d/da/Nur05018-Pillow_lavas_off_Hawaii.jpg
17,sandstone,"Sandstone is a clastic sedimentary rock composed mainly of sand-sized (0.0625 to 2 mm) mineral particles or rock fragments (clasts) or organic material. They make up about 20 to 25 percent of all sedimentary rocks.[1]

Most sandstone is composed of quartz or feldspar (both silicates) because they are the most resistant minerals to weathering processes at the Earth's surface, as seen in the Goldich dissolution series. Like uncemented sand, sandstone may be any color due to impurities within the minerals, but the most common colors are tan, brown, yellow, red, grey, pink, white, and black. Since sandstone beds often form highly visible cliffs and other topographic features, certain colors of sandstone have been strongly identified with certain regions.

Rock formations that are primarily composed of sandstone usually allow the percolation of water and other fluids and are porous enough to store large quantities, making them valuable aquifers and petroleum reservoirs. Fine-grained aquifers, such as sandstones, are better able to filter out pollutants from the surface than are rocks with cracks and crevices, such as limestone or other rocks fractured by seismic activity.

Quartz-bearing sandstone can be changed into quartzite through metamorphism, usually related to tectonic compression within orogenic belts.",https://en.wikipedia.org/wiki/Sandstone,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/MoabAlcove.JPG/1280px-MoabAlcove.JPG
